01 08102021 04 59   21.4   13.3   22.8 2
02 08102021 04 59    9.5    1.0    6.5 0
03 08102021 04 59   11.3    8.9    4.3 1
04 08102021 04 59    3.3   12.0   13.2 1
05 08102021 04 59   13.4    7.4   31.8 2
06 08102021 04 59    9.1   17.8   28.5 2
07 08102021 04 59    3.7    8.3   12.9 0
08 08102021 04 59   -4.5    9.0   17.2 1
09 08102021 04 59    -.5   22.6   34.9 2
10 08102021 04 59     .6   17.0    3.9 1
